start_time,end_time,states_seen,peak_requests,peak_5xx,total_suspicious_requests,reason
6/13/2024 8:17,6/13/2024 8:17,suspicious,32,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/14/2024 7:56,6/14/2024 7:56,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/14/2024 20:34,6/14/2024 20:34,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/16/2024 0:59,6/16/2024 0:59,suspicious,21,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/16/2024 10:25,6/21/2024 8:49,down_or_crashing,28,28,116054,traffic/error/suspicious-request spike inferred from log metrics
6/23/2024 11:31,6/23/2024 11:31,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/25/2024 9:58,6/25/2024 9:58,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/25/2024 10:02,6/25/2024 10:02,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
6/25/2024 17:30,6/29/2024 15:59,down_or_crashing,26,26,92781,traffic/error/suspicious-request spike inferred from log metrics
6/29/2024 17:17,6/29/2024 17:17,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/3/2024 16:51,7/3/2024 16:51,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/5/2024 11:02,7/8/2024 5:25,down_or_crashing,26,26,65431,traffic/error/suspicious-request spike inferred from log metrics
7/10/2024 13:32,7/10/2024 13:32,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/10/2024 15:20,7/10/2024 15:20,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/12/2024 5:51,7/12/2024 5:51,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/12/2024 9:53,7/12/2024 9:53,suspicious,27,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/14/2024 4:00,7/14/2024 4:00,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/14/2024 9:01,7/14/2024 9:01,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/17/2024 4:04,7/19/2024 9:30,down_or_crashing,26,26,52606,traffic/error/suspicious-request spike inferred from log metrics
7/19/2024 20:45,7/19/2024 20:45,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/20/2024 4:39,7/20/2024 4:39,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/20/2024 13:28,7/20/2024 13:28,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/21/2024 13:24,7/21/2024 13:24,suspicious,17,0,0,traffic/error/suspicious-request spike inferred from log metrics
7/24/2024 2:02,7/28/2024 3:43,down_or_crashing,27,27,95804,traffic/error/suspicious-request spike inferred from log metrics
7/30/2024 18:57,8/3/2024 0:20,down_or_crashing,28,28,75838,traffic/error/suspicious-request spike inferred from log metrics
8/3/2024 8:10,8/3/2024 8:10,suspicious,20,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/4/2024 9:57,8/4/2024 9:57,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/10/2024 11:42,8/12/2024 12:34,down_or_crashing,25,25,47873,traffic/error/suspicious-request spike inferred from log metrics
8/12/2024 17:16,8/12/2024 17:16,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/16/2024 9:33,8/16/2024 9:33,suspicious,28,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/16/2024 18:16,8/16/2024 18:16,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/16/2024 22:57,8/21/2024 4:19,down_or_crashing,27,27,99697,traffic/error/suspicious-request spike inferred from log metrics
8/21/2024 9:32,8/21/2024 9:32,suspicious,21,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/21/2024 11:45,8/21/2024 11:45,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/22/2024 4:27,8/22/2024 4:27,suspicious,20,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/23/2024 13:12,8/23/2024 13:12,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/23/2024 20:39,8/23/2024 20:39,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/24/2024 21:25,8/24/2024 21:25,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/25/2024 9:48,8/25/2024 9:48,suspicious,27,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/25/2024 20:41,8/25/2024 20:41,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/27/2024 9:56,8/27/2024 9:56,suspicious,28,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/27/2024 19:54,8/27/2024 19:54,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/27/2024 23:07,8/27/2024 23:07,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/28/2024 6:00,8/28/2024 6:00,suspicious,27,0,0,traffic/error/suspicious-request spike inferred from log metrics
8/29/2024 16:39,9/1/2024 19:18,down_or_crashing,28,28,73015,traffic/error/suspicious-request spike inferred from log metrics
9/5/2024 18:57,9/5/2024 18:57,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/6/2024 18:39,9/6/2024 18:39,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/7/2024 6:55,9/7/2024 6:55,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/7/2024 11:52,9/7/2024 11:52,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/8/2024 16:53,9/12/2024 18:39,down_or_crashing,27,27,95661,traffic/error/suspicious-request spike inferred from log metrics
9/13/2024 17:55,9/13/2024 17:55,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/13/2024 19:32,9/13/2024 19:32,suspicious,28,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/15/2024 12:14,9/15/2024 12:14,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/19/2024 23:07,9/19/2024 23:07,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/20/2024 13:16,9/20/2024 13:16,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/21/2024 10:53,9/21/2024 10:53,suspicious,27,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/21/2024 14:37,9/24/2024 4:42,down_or_crashing,26,26,60828,traffic/error/suspicious-request spike inferred from log metrics
9/28/2024 18:34,9/28/2024 18:34,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/29/2024 12:44,9/29/2024 12:44,suspicious,21,0,0,traffic/error/suspicious-request spike inferred from log metrics
9/29/2024 19:31,9/29/2024 19:31,suspicious,29,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/1/2024 8:44,10/1/2024 8:44,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/1/2024 16:08,10/1/2024 16:08,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/5/2024 18:20,10/5/2024 18:20,suspicious,21,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/12/2024 1:01,10/12/2024 1:01,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/13/2024 3:46,10/13/2024 3:46,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/14/2024 12:50,10/14/2024 12:50,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/15/2024 17:33,10/15/2024 17:33,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/15/2024 21:21,10/15/2024 21:21,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/19/2024 7:46,10/19/2024 7:46,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/21/2024 1:22,10/21/2024 1:22,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/21/2024 1:47,10/21/2024 1:47,suspicious,29,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/21/2024 7:39,10/23/2024 11:47,down_or_crashing,27,27,51173,traffic/error/suspicious-request spike inferred from log metrics
10/24/2024 12:34,10/24/2024 12:34,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/24/2024 23:04,10/24/2024 23:04,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/25/2024 5:04,10/25/2024 5:04,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
10/27/2024 15:28,10/31/2024 11:57,down_or_crashing,27,27,90621,traffic/error/suspicious-request spike inferred from log metrics
11/1/2024 5:08,11/1/2024 5:08,suspicious,21,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/1/2024 10:05,11/1/2024 10:05,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/3/2024 3:52,11/7/2024 18:52,down_or_crashing,26,26,108812,traffic/error/suspicious-request spike inferred from log metrics
11/7/2024 21:49,11/7/2024 21:49,suspicious,25,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/11/2024 4:28,11/15/2024 0:39,down_or_crashing,27,27,90563,traffic/error/suspicious-request spike inferred from log metrics
11/17/2024 13:07,11/17/2024 13:07,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/21/2024 7:59,11/21/2024 7:59,suspicious,32,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/21/2024 9:58,11/21/2024 9:58,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/21/2024 16:07,11/21/2024 16:07,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/22/2024 14:32,11/26/2024 0:45,down_or_crashing,27,27,81023,traffic/error/suspicious-request spike inferred from log metrics
11/26/2024 7:01,11/26/2024 7:01,suspicious,27,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/28/2024 12:21,11/28/2024 12:21,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
11/29/2024 16:21,11/29/2024 16:21,suspicious,22,0,0,traffic/error/suspicious-request spike inferred from log metrics
12/4/2024 9:43,12/4/2024 9:43,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
12/7/2024 12:50,12/7/2024 12:50,suspicious,23,0,0,traffic/error/suspicious-request spike inferred from log metrics
12/7/2024 16:50,12/7/2024 16:50,suspicious,26,0,0,traffic/error/suspicious-request spike inferred from log metrics
12/7/2024 18:06,12/7/2024 18:06,suspicious,18,0,0,traffic/error/suspicious-request spike inferred from log metrics
12/8/2024 22:55,12/8/2024 22:55,suspicious,24,0,0,traffic/error/suspicious-request spike inferred from log metrics
12/14/2024 13:08,12/14/2024 13:08,suspicious,27,0,0,traffic/error/suspicious-request spike inferred from log metrics
