suffix,first_rank,endpoint_count,total_requests,total_5xx,status_500,status_504,unique_ips_max,bases_seen,examples
_,1,6,914673,914673,458468,456205,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/cart_;/search_;/api/v1/user_;/products_;/checkout_;/index_.html
E,7,6,679253,679253,339596,339657,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchE;/indexE.html;/cartE;/productsE;/api/v1/userE;/checkoutE
A,13,6,589133,589133,294892,294241,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/api/v1/userA;/productsA;/cartA;/checkoutA;/searchA;/indexA.html
S,19,6,357632,357632,179019,178613,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/checkoutS;/api/v1/userS;/cartS;/searchS;/indexS.html;/productsS
R,25,6,332698,332698,166291,166407,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchR;/checkoutR;/productsR;/cartR;/indexR.html;/api/v1/userR
T,31,6,315862,315862,157754,158108,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/cartT;/api/v1/userT;/searchT;/productsT;/checkoutT;/indexT.html
O,37,6,306732,306732,153901,152831,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/checkoutO;/indexO.html;/productsO;/cartO;/api/v1/userO;/searchO
L,43,6,207519,207519,103816,103703,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/indexL.html;/productsL;/checkoutL;/cartL;/api/v1/userL;/searchL
N,49,6,196493,196493,97954,98539,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/checkoutN;/cartN;/productsN;/indexN.html;/searchN;/api/v1/userN
U,54,6,192295,192295,96166,96129,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/cartU;/checkoutU;/api/v1/userU;/searchU;/productsU;/indexU.html
Y,60,6,189126,189126,93850,95276,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/api/v1/userY;/productsY;/cartY;/checkoutY;/indexY.html;/searchY
W,67,6,152426,152426,76274,76152,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchW;/cartW;/indexW.html;/productsW;/api/v1/userW;/checkoutW
I,72,6,150682,150682,75184,75498,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/checkoutI;/api/v1/userI;/indexI.html;/searchI;/cartI;/productsI
M,79,6,145520,145520,72937,72583,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/api/v1/userM;/checkoutM;/searchM;/cartM;/indexM.html;/productsM
G,85,6,97010,97010,48573,48437,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchG;/checkoutG;/productsG;/indexG.html;/api/v1/userG;/cartG
F,91,6,81332,81332,40590,40742,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchF;/productsF;/cartF;/api/v1/userF;/checkoutF;/indexF.html
D,97,6,79990,79990,40046,39944,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/indexD.html;/api/v1/userD;/cartD;/productsD;/searchD;/checkoutD
Z,103,6,70896,70896,35244,35652,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchZ;/cartZ;/checkoutZ;/indexZ.html;/api/v1/userZ;/productsZ
X,106,6,70783,70783,35297,35486,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/productsX;/searchX;/api/v1/userX;/indexX.html;/cartX;/checkoutX
V,115,6,68715,68715,34157,34558,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/cartV;/indexV.html;/productsV;/searchV;/api/v1/userV;/checkoutV
B,121,6,65738,65738,32920,32818,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/api/v1/userB;/productsB;/cartB;/checkoutB;/searchB;/indexB.html
P,127,6,54849,54849,27311,27538,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/api/v1/userP;/searchP;/indexP.html;/checkoutP;/productsP;/cartP
C,131,6,53544,53544,26767,26777,19,/api/v1/user;/cart;/checkout;/index.html;/products;/search,/searchC;/cartC;/indexC.html;/productsC;/api/v1/userC;/checkoutC
