line_number,timestamp,ip,method,endpoint,status,latency_ms,score,reasons
196136,2024-06-16 10:25:29,209.103.8.44,GET,/indexN.html,500,10738,4,server_error
196137,2024-06-16 10:25:31,215.143.100.205,GET,/cartN,504,11540,4,server_error
196138,2024-06-16 10:25:32,119.123.55.141,GET,/indexN.html,504,8720,4,server_error
196139,2024-06-16 10:25:33,14.121.165.122,GET,/searchN,504,11495,4,server_error
196140,2024-06-16 10:25:40,196.45.2.86,POST,/checkoutN,500,11261,4,server_error
196141,2024-06-16 10:25:42,197.82.237.190,GET,/searchN,500,8548,4,server_error
196142,2024-06-16 10:25:43,148.9.19.27,GET,/indexN.html,504,6218,4,server_error
196143,2024-06-16 10:25:48,139.94.203.41,GET,/productsN,500,9821,4,server_error
196144,2024-06-16 10:25:50,14.252.124.193,GET,/api/v1/userN,500,10795,4,server_error
196145,2024-06-16 10:25:58,14.252.124.193,POST,/checkoutN,504,11627,4,server_error
196146,2024-06-16 10:26:01,95.125.101.128,GET,/searchN,500,10754,4,server_error
196147,2024-06-16 10:26:13,215.143.100.205,GET,/searchN,504,6364,4,server_error
196148,2024-06-16 10:26:14,187.91.79.110,GET,/productsN,504,8877,4,server_error
196149,2024-06-16 10:26:18,95.125.101.128,GET,/indexN.html,504,6241,4,server_error
196150,2024-06-16 10:26:26,202.129.225.117,GET,/api/v1/userN,500,11184,4,server_error
196151,2024-06-16 10:26:28,199.242.130.73,GET,/cartN,504,9484,4,server_error
196152,2024-06-16 10:26:37,162.240.218.117,GET,/cartN,504,7809,4,server_error
196153,2024-06-16 10:26:39,199.242.130.73,GET,/indexN.html,500,11095,4,server_error
196154,2024-06-16 10:26:50,80.130.43.26,GET,/searchN,504,8773,4,server_error
196155,2024-06-16 10:27:05,199.242.130.73,GET,/cartN,500,8151,4,server_error
196156,2024-06-16 10:27:08,80.130.43.26,GET,/api/v1/userN,500,6152,4,server_error
196157,2024-06-16 10:27:09,148.9.19.27,GET,/api/v1/userN,500,11985,4,server_error
196158,2024-06-16 10:27:12,162.240.218.117,GET,/cartN,500,6860,4,server_error
196159,2024-06-16 10:27:15,196.45.2.86,POST,/checkoutN,500,7809,4,server_error
196160,2024-06-16 10:27:16,197.82.237.190,GET,/productsN,500,8118,4,server_error
196161,2024-06-16 10:27:18,14.121.165.122,GET,/cartN,504,10791,4,server_error
196162,2024-06-16 10:27:19,197.82.237.190,GET,/cartN,500,11543,4,server_error
196163,2024-06-16 10:27:22,119.123.55.141,GET,/indexN.html,500,7048,4,server_error
196164,2024-06-16 10:27:23,95.125.101.128,GET,/productsN,504,6281,4,server_error
196165,2024-06-16 10:27:25,199.71.56.65,GET,/searchN,500,9964,4,server_error
196166,2024-06-16 10:27:28,95.125.101.128,POST,/checkoutN,504,8756,4,server_error
196167,2024-06-16 10:27:30,14.252.124.193,GET,/api/v1/userN,500,6506,4,server_error
196168,2024-06-16 10:27:34,95.125.101.128,GET,/indexN.html,504,7507,4,server_error
196169,2024-06-16 10:27:38,162.240.218.117,GET,/api/v1/userN,500,11842,4,server_error
196170,2024-06-16 10:27:44,187.91.79.110,GET,/productsN,500,8328,4,server_error
196171,2024-06-16 10:27:50,139.94.203.41,GET,/searchN,500,7465,4,server_error
196172,2024-06-16 10:27:54,95.125.101.128,GET,/api/v1/userN,504,11627,4,server_error
